iter	Passed	Remaining
0	165	16337
1	183	8974
2	203	6585
3	222	5333
4	240	4563
5	260	4080
6	278	3695
7	298	3436
8	318	3215
9	336	3030
10	354	2866
11	372	2735
12	391	2618
13	413	2541
14	432	2448
15	449	2360
16	467	2283
17	485	2213
18	502	2142
19	521	2084
20	542	2039
21	563	1997
22	584	1958
23	608	1926
24	630	1890
25	653	1860
26	673	1821
27	693	1782
28	714	1748
29	733	1712
30	753	1676
31	771	1640
32	789	1603
33	810	1573
34	837	1554
35	855	1521
36	873	1487
37	893	1457
38	913	1428
39	935	1403
40	956	1376
41	977	1350
42	996	1321
43	1018	1295
44	1038	1269
45	1058	1242
46	1078	1216
47	1102	1194
48	1127	1173
49	1151	1151
50	1171	1125
51	1193	1101
52	1220	1082
53	1242	1058
54	1260	1031
55	1281	1006
56	1304	983
57	1329	962
58	1349	938
59	1367	911
60	1385	885
61	1402	859
62	1418	832
63	1434	806
64	1454	782
65	1477	761
66	1496	737
67	1515	713
68	1535	689
69	1555	666
70	1578	644
71	1599	621
72	1618	598
73	1638	575
74	1662	554
75	1684	531
76	1704	509
77	1724	486
78	1742	463
79	1761	440
80	1779	417
81	1796	394
82	1817	372
83	1836	349
84	1852	326
85	1869	304
86	1884	281
87	1901	259
88	1918	237
89	1942	215
90	1960	193
91	1981	172
92	2002	150
93	2020	128
94	2040	107
95	2058	85
96	2075	64
97	2093	42
98	2111	21
99	2129	0
